GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53061041704,4044959,0,47.8674032,-122.2252011,5024,0.126649745,0.000486252
53061051927,4609924,0,47.8354398,-122.2381827,4714,0.131761426,0.000553829
53061041703,3699456,236620,47.86099,-122.2427968,5039,0.102018272,0.0004731
53053063300,3373093,0,47.1990218,-122.4086992,7857,0.089544906,0.000400412
53029971700,25456585,20816287,48.1096022,-122.4214835,4050,0.492205863,0.005588311
53029971000,34963139,14436595,48.2202487,-122.7283782,4776,0.493949355,0.00597987
53029971100,45358288,18977880,48.1837987,-122.6496927,3289,0.48446371,0.007780956
53029971300,55895932,26566843,48.0780368,-122.5781163,4393,0.505863353,0.009952977
53029970100,26512114,8116201,48.3908735,-122.6173872,2604,0.318444155,0.004204522
53029970200,18048503,3705621,48.3399471,-122.6683853,1633,0.35861674,0.002638905
53029970300,46851427,14570483,48.3327828,-122.5801523,4989,0.512587219,0.007449154
53029970400,14196089,482630,48.3185405,-122.671099,6131,0.265827664,0.001779672
53029970500,23118497,6058318,48.2699602,-122.7080962,5494,0.325511056,0.003534773
53029970700,2073206,435439,48.2900942,-122.6549929,1922,0.088844203,0.000304024
53029970800,1566882,0,48.3015174,-122.6381092,2706,0.07069705,0.000189935
53061041606,2525930,45367,47.8857346,-122.1969527,5287,0.070424904,0.000309205
53061040900,3310569,1063926,47.9601341,-122.23608,2810,0.120603497,0.000526814
53061041608,3769151,0,47.8860204,-122.1686508,6264,0.120932935,0.000453257
53061041601,4680591,0,47.9162101,-122.1933019,5498,0.099900198,0.000563185
53061041806,2893642,0,47.9016415,-122.2299358,7971,0.094430445,0.000348077
53061041905,2227004,0,47.9014135,-122.2571911,5174,0.07622323,0.000267885
53029970900,11766543,6073250,48.2976251,-122.5727329,4801,0.332439055,0.00216206
53029971800,21851768,12976337,47.9828721,-122.5252614,2452,0.342748388,0.004196614
53029971900,51529181,13938775,48.0589925,-122.479581,3750,0.440972241,0.007897259
53029972000,47744308,13193564,47.9891127,-122.4072614,3938,0.531127511,0.007342765
53029972100,31815958,18130755,47.9375721,-122.3934862,3490,0.41964506,0.006012308
53029970601,1627512,0,48.3027217,-122.6632901,3186,0.071017903,0.000197289
53029970602,1977729,0,48.2921402,-122.6658184,3291,0.06565203,0.000239693
53029992201,0,598466627,48.3394943,-122.7962515,0,4.585439848,0.072361854
53027000800,83830075,6806119,46.9760205,-123.706088,4055,0.547732757,0.010714393
53027000900,23489969,3663774,46.9484167,-123.7923125,6252,0.383087049,0.003208418
53027001000,6302524,537527,46.9827575,-123.7981061,3600,0.157625352,0.000808737
53027001100,5827480,55477,46.9885769,-123.8285234,4284,0.138575789,0.000695626
53027001300,41386107,5454458,47.0145337,-123.8554836,3563,0.540726703,0.005541009
53027001400,29029356,948901,47.0289826,-123.8907017,2096,0.430687474,0.00354684
